epoch: 1, lr: 1.00e+00 - train loss: 6.89e-02 - valid loss: 6.19e-01, valid summary: {'TP': 563747.0, 'TN': 205434.0, 'FP': 118487.0, 'FN': 78332.0, 'FAR': 0.3657898067738626, 'FRR': 0.12199744891204786, 'DER': 0.2558812555172286, 'threshold': 0.5, 'precision': 0.8263249852689718, 'recall': 0.8780025510879366, 'F-score': 0.8513803005784886, 'MCC': 0.5309056000636692}
epoch: 2, lr: 9.91e-01 - train loss: 6.57e-02 - valid loss: 6.07e-01, valid summary: {'TP': 576125.0, 'TN': 212065.0, 'FP': 111856.0, 'FN': 65954.0, 'FAR': 0.3453187659954018, 'FRR': 0.10271944729542466, 'DER': 0.22559281391542363, 'threshold': 0.5, 'precision': 0.8374141146339675, 'recall': 0.8972805527045598, 'F-score': 0.8663143016104536, 'MCC': 0.5755689224138596}
epoch: 3, lr: 9.82e-01 - train loss: 6.50e-02 - valid loss: 6.04e-01, valid summary: {'TP': 564558.0, 'TN': 235382.0, 'FP': 88539.0, 'FN': 77521.0, 'FAR': 0.2733351650556687, 'FRR': 0.12073436446293803, 'DER': 0.20759056929269434, 'threshold': 0.5, 'precision': 0.8644320828299492, 'recall': 0.8792656355370464, 'F-score': 0.8717857650234409, 'MCC': 0.6112837765420548}
epoch: 4, lr: 9.73e-01 - train loss: 6.47e-02 - valid loss: 5.97e-01, valid summary: {'TP': 580274.0, 'TN': 230353.0, 'FP': 93568.0, 'FN': 61805.0, 'FAR': 0.28886055550580886, 'FRR': 0.09625762561927588, 'DER': 0.19167015162337064, 'threshold': 0.5, 'precision': 0.8611425230246725, 'recall': 0.9037423743807085, 'F-score': 0.8819283224448884, 'MCC': 0.6320006242962646}
epoch: 5, lr: 9.64e-01 - train loss: 6.45e-02 - valid loss: 5.96e-01, valid summary: {'TP': 586466.0, 'TN': 224771.0, 'FP': 99150.0, 'FN': 55613.0, 'FAR': 0.3060931523426914, 'FRR': 0.0866139524887111, 'DER': 0.19077408944611512, 'threshold': 0.5, 'precision': 0.8553855219247968, 'recall': 0.9133860475112733, 'F-score': 0.8834348250162877, 'MCC': 0.6316767612333934}
epoch: 6, lr: 9.55e-01 - train loss: 6.43e-02 - valid loss: 5.97e-01, valid summary: {'TP': 560426.0, 'TN': 257788.0, 'FP': 66133.0, 'FN': 81653.0, 'FAR': 0.20416397825395066, 'FRR': 0.1271697096463188, 'DER': 0.18062022893765958, 'threshold': 0.5, 'precision': 0.8944504827158991, 'recall': 0.8728302903536657, 'F-score': 0.8835081402259747, 'MCC': 0.6612414864677475}
epoch: 7, lr: 9.45e-01 - train loss: 6.42e-02 - valid loss: 6.03e-01, valid summary: {'TP': 522260.0, 'TN': 280659.0, 'FP': 43262.0, 'FN': 119819.0, 'FAR': 0.133557256244574, 'FRR': 0.18661099335128253, 'DER': 0.20311015183349498, 'threshold': 0.5, 'precision': 0.9235007656642725, 'recall': 0.8133890066487018, 'F-score': 0.8649545669471953, 'MCC': 0.6514800859430021}
epoch: 8, lr: 9.36e-01 - train loss: 6.41e-02 - valid loss: 5.92e-01, valid summary: {'TP': 574619.0, 'TN': 250335.0, 'FP': 73586.0, 'FN': 67460.0, 'FAR': 0.22717267481885314, 'FRR': 0.10506495306652133, 'DER': 0.1709743816018812, 'threshold': 0.5, 'precision': 0.8864772718507126, 'recall': 0.894935046933463, 'F-score': 0.8906860815138372, 'MCC': 0.6709744919641499}
epoch: 9, lr: 9.27e-01 - train loss: 6.40e-02 - valid loss: 5.94e-01, valid summary: {'TP': 561478.0, 'TN': 265379.0, 'FP': 58542.0, 'FN': 80601.0, 'FAR': 0.180729251885485, 'FRR': 0.12553128197620347, 'DER': 0.1682794001864873, 'threshold': 0.5, 'precision': 0.905580465146271, 'recall': 0.8744687180237809, 'F-score': 0.8897527056118418, 'MCC': 0.6830961545005958}
epoch: 10, lr: 9.18e-01 - train loss: 6.39e-02 - valid loss: 5.91e-01, valid summary: {'TP': 569706.0, 'TN': 259664.0, 'FP': 64257.0, 'FN': 72373.0, 'FAR': 0.1983724426634828, 'FRR': 0.1127166594764801, 'DER': 0.16473950106707302, 'threshold': 0.5, 'precision': 0.8986423497901155, 'recall': 0.8872833405235043, 'F-score': 0.8929267218477135, 'MCC': 0.6847809080793291}
epoch: 11, lr: 9.09e-01 - train loss: 6.39e-02 - valid loss: 5.88e-01, valid summary: {'TP': 583689.0, 'TN': 249177.0, 'FP': 74744.0, 'FN': 58390.0, 'FAR': 0.2307476205617965, 'FRR': 0.09093896545440529, 'DER': 0.15985044412906566, 'threshold': 0.5, 'precision': 0.8864819958902289, 'recall': 0.9090610345455791, 'F-score': 0.8976295489776335, 'MCC': 0.6874142455260143}
