epoch: 1, lr: 1.00e+00 - train loss: 2.67e-01 - valid loss: 4.05e-01, valid summary: {'TP': 559278.0, 'TN': 261825.0, 'FP': 62096.0, 'FN': 82801.0, 'FAR': 0.19170106291348224, 'FRR': 0.12895765162853592, 'DER': 0.17646628985644705, 'threshold': 0.5, 'precision': 0.900066626540523, 'recall': 0.8710423483714484, 'F-score': 0.8853166678934634, 'MCC': 0.6695010086829681}
epoch: 2, lr: 9.91e-01 - train loss: 2.42e-01 - valid loss: 3.80e-01, valid summary: {'TP': 598278.0, 'TN': 241359.0, 'FP': 82562.0, 'FN': 43801.0, 'FAR': 0.2548831350853987, 'FRR': 0.06821746233718798, 'DER': 0.15049717913812574, 'threshold': 0.5, 'precision': 0.8787350919452311, 'recall': 0.9317825376627964, 'F-score': 0.9044816802842804, 'MCC': 0.7006015301541806}
epoch: 3, lr: 9.82e-01 - train loss: 2.35e-01 - valid loss: 3.83e-01, valid summary: {'TP': 616757.0, 'TN': 220714.0, 'FP': 103207.0, 'FN': 25322.0, 'FAR': 0.31861781113295157, 'FRR': 0.03943751469834647, 'DER': 0.15347277696779765, 'threshold': 0.5, 'precision': 0.8566497769332792, 'recall': 0.9605624853016379, 'F-score': 0.9056351378040194, 'MCC': 0.6955953432898428}
epoch: 4, lr: 9.73e-01 - train loss: 2.31e-01 - valid loss: 3.82e-01, valid summary: {'TP': 571687.0, 'TN': 278619.0, 'FP': 45302.0, 'FN': 70392.0, 'FAR': 0.1398550881233344, 'FRR': 0.10963136934862984, 'DER': 0.13606160605711196, 'threshold': 0.5, 'precision': 0.9265756763896775, 'recall': 0.8903686306513545, 'F-score': 0.9081113966838963, 'MCC': 0.7375883529415407}
epoch: 5, lr: 9.64e-01 - train loss: 2.28e-01 - valid loss: 3.77e-01, valid summary: {'TP': 575048.0, 'TN': 277030.0, 'FP': 46891.0, 'FN': 67031.0, 'FAR': 0.14476060520929038, 'FRR': 0.1043968109843165, 'DER': 0.13369902755381394, 'threshold': 0.5, 'precision': 0.9246051461638372, 'recall': 0.8956031890156679, 'F-score': 0.9098731188954587, 'MCC': 0.7402374645715138}
epoch: 6, lr: 9.55e-01 - train loss: 2.27e-01 - valid loss: 3.69e-01, valid summary: {'TP': 608113.0, 'TN': 249431.0, 'FP': 74490.0, 'FN': 33966.0, 'FAR': 0.22996347874944106, 'FRR': 0.05290003255051087, 'DER': 0.12647281072457942, 'threshold': 0.5, 'precision': 0.8908736117479575, 'recall': 0.9470999674494736, 'F-score': 0.9181267655180639, 'MCC': 0.7435905897981235}
epoch: 7, lr: 9.45e-01 - train loss: 2.25e-01 - valid loss: 3.66e-01, valid summary: {'TP': 593916.0, 'TN': 270532.0, 'FP': 53389.0, 'FN': 48163.0, 'FAR': 0.1648210520466359, 'FRR': 0.07501101889331258, 'DER': 0.11747612349152155, 'threshold': 0.5, 'precision': 0.9175211067425569, 'recall': 0.9249889811066718, 'F-score': 0.9212399099104689, 'MCC': 0.7632753245186561}
epoch: 8, lr: 9.36e-01 - train loss: 2.23e-01 - valid loss: 3.62e-01, valid summary: {'TP': 593741.0, 'TN': 273197.0, 'FP': 50724.0, 'FN': 48338.0, 'FAR': 0.15659373736188278, 'FRR': 0.07528357102474811, 'DER': 0.11426653347759454, 'threshold': 0.5, 'precision': 0.9212928553140834, 'recall': 0.9247164289752363, 'F-score': 0.9230014674974194, 'MCC': 0.7695389122588753}
epoch: 9, lr: 9.27e-01 - train loss: 2.23e-01 - valid loss: 3.66e-01, valid summary: {'TP': 587930.0, 'TN': 278346.0, 'FP': 45575.0, 'FN': 54149.0, 'FAR': 0.14069788621299203, 'FRR': 0.08433385922915895, 'DER': 0.11511804551897876, 'threshold': 0.5, 'precision': 0.9280589734887502, 'recall': 0.9156661407708254, 'F-score': 0.9218209071295971, 'MCC': 0.7700698409402336}
epoch: 10, lr: 9.18e-01 - train loss: 2.22e-01 - valid loss: 3.64e-01, valid summary: {'TP': 604414.0, 'TN': 263202.0, 'FP': 60719.0, 'FN': 37665.0, 'FAR': 0.187450026395319, 'FRR': 0.05866100588868257, 'DER': 0.11339578799837585, 'threshold': 0.5, 'precision': 0.9087114907845362, 'recall': 0.9413389941113018, 'F-score': 0.9247375330091829, 'MCC': 0.768563309223142}
epoch: 11, lr: 9.09e-01 - train loss: 2.21e-01 - valid loss: 3.62e-01, valid summary: {'TP': 608568.0, 'TN': 254848.0, 'FP': 69073.0, 'FN': 33511.0, 'FAR': 0.21324026537334062, 'FRR': 0.05219139700877848, 'DER': 0.1188117894502752, 'threshold': 0.5, 'precision': 0.8980684462716851, 'recall': 0.947808602991206, 'F-score': 0.922268359955142, 'MCC': 0.757843268525296}
