epoch: 1, lr: 1.00e+00 - train loss: 1.78e-01 - valid loss: 4.85e-01, valid summary: {'TP': 549921.0, 'TN': 257191.0, 'FP': 66730.0, 'FN': 92158.0, 'FAR': 0.20600702023023496, 'FRR': 0.14353062473620623, 'DER': 0.19685991535251368, 'threshold': 0.5, 'precision': 0.891786439979812, 'recall': 0.8564693752637782, 'F-score': 0.8737711820644618, 'MCC': 0.6391259925268221}
epoch: 2, lr: 9.91e-01 - train loss: 1.67e-01 - valid loss: 4.58e-01, valid summary: {'TP': 599891.0, 'TN': 224516.0, 'FP': 99405.0, 'FN': 42188.0, 'FAR': 0.3068803813275364, 'FRR': 0.06570531040572787, 'DER': 0.17175133156317, 'threshold': 0.5, 'precision': 0.8578498947512805, 'recall': 0.9342946895942565, 'F-score': 0.894441897306868, 'MCC': 0.6625564973183738}
epoch: 3, lr: 9.82e-01 - train loss: 1.65e-01 - valid loss: 4.56e-01, valid summary: {'TP': 599799.0, 'TN': 237864.0, 'FP': 86057.0, 'FN': 42280.0, 'FAR': 0.26567280293651024, 'FRR': 0.06584859495482541, 'DER': 0.1532083904863871, 'threshold': 0.5, 'precision': 0.8745261395978037, 'recall': 0.934151405045159, 'F-score': 0.9033559624529816, 'MCC': 0.6954952392660736}
epoch: 4, lr: 9.73e-01 - train loss: 1.63e-01 - valid loss: 4.63e-01, valid summary: {'TP': 544863.0, 'TN': 286924.0, 'FP': 36997.0, 'FN': 97216.0, 'FAR': 0.1142161205973026, 'FRR': 0.15140816005506874, 'DER': 0.16135501035721692, 'threshold': 0.5, 'precision': 0.9364159763516836, 'recall': 0.8485918399449157, 'F-score': 0.8903433912964617, 'MCC': 0.7083992248188911}
epoch: 5, lr: 9.64e-01 - train loss: 1.62e-01 - valid loss: 4.59e-01, valid summary: {'TP': 551361.0, 'TN': 285626.0, 'FP': 38295.0, 'FN': 90718.0, 'FAR': 0.11822327048878836, 'FRR': 0.14128791005467956, 'DER': 0.15413978950688417, 'threshold': 0.5, 'precision': 0.9350553543082588, 'recall': 0.8587120899453049, 'F-score': 0.8952591263542888, 'MCC': 0.7168700418803515}
epoch: 6, lr: 9.55e-01 - train loss: 1.61e-01 - valid loss: 4.41e-01, valid summary: {'TP': 603086.0, 'TN': 253065.0, 'FP': 70856.0, 'FN': 38993.0, 'FAR': 0.21874469392227675, 'FRR': 0.06072928720609051, 'DER': 0.1283056376737266, 'threshold': 0.5, 'precision': 0.8948633561938432, 'recall': 0.9392707127938938, 'F-score': 0.9165294474784217, 'MCC': 0.7406578648221869}
epoch: 7, lr: 9.45e-01 - train loss: 1.60e-01 - valid loss: 4.44e-01, valid summary: {'TP': 585713.0, 'TN': 272193.0, 'FP': 51728.0, 'FN': 56366.0, 'FAR': 0.15969325854142954, 'FRR': 0.08778670537425944, 'DER': 0.12599748690415818, 'threshold': 0.5, 'precision': 0.918850528911681, 'recall': 0.912213294625725, 'F-score': 0.915519882455921, 'MCC': 0.749903139899509}
epoch: 8, lr: 9.36e-01 - train loss: 1.59e-01 - valid loss: 4.38e-01, valid summary: {'TP': 596316.0, 'TN': 263993.0, 'FP': 59928.0, 'FN': 45763.0, 'FAR': 0.18500807295605456, 'FRR': 0.07127316109076809, 'DER': 0.12285237048548693, 'threshold': 0.5, 'precision': 0.9086803079342302, 'recall': 0.9287268389092164, 'F-score': 0.9185942173095601, 'MCC': 0.7522808189647042}
epoch: 9, lr: 9.27e-01 - train loss: 1.59e-01 - valid loss: 4.41e-01, valid summary: {'TP': 588746.0, 'TN': 273313.0, 'FP': 50608.0, 'FN': 53333.0, 'FAR': 0.15623562535309052, 'FRR': 0.08306298757629384, 'DER': 0.12057295382334479, 'threshold': 0.5, 'precision': 0.9208451030258523, 'recall': 0.9169370124236905, 'F-score': 0.9188869023975502, 'MCC': 0.7591343232866427}
epoch: 10, lr: 9.18e-01 - train loss: 1.59e-01 - valid loss: 4.41e-01, valid summary: {'TP': 601799.0, 'TN': 260796.0, 'FP': 63125.0, 'FN': 40280.0, 'FAR': 0.19487776340526872, 'FRR': 0.062733713452705, 'DER': 0.11987665126739525, 'threshold': 0.5, 'precision': 0.9050643381799889, 'recall': 0.9372662865472794, 'F-score': 0.9208838847347711, 'MCC': 0.7566951692583599}
epoch: 11, lr: 9.09e-01 - train loss: 1.58e-01 - valid loss: 4.41e-01, valid summary: {'TP': 603644.0, 'TN': 257159.0, 'FP': 66762.0, 'FN': 38435.0, 'FAR': 0.20610580974990178, 'FRR': 0.05986023526699892, 'DER': 0.12220798486993978, 'threshold': 0.5, 'precision': 0.9004155690730558, 'recall': 0.9401397647329854, 'F-score': 0.9198489887503476, 'MCC': 0.7519919331071234}
