epoch: 15, lr: 8.73e-01 - train loss: 2.89e-01 - valid loss: 3.48e-01, valid summary: {'TP': 594445.0, 'TN': 263434.0, 'FP': 60487.0, 'FN': 47634.0, 'FAR': 0.1867338023777345, 'FRR': 0.07418713273600173, 'DER': 0.1260329253892434, 'threshold': 0.5, 'precision': 0.9076438469947886, 'recall': 0.9258128672639827, 'F-score': 0.9166383322886236, 'MCC': 0.7467563291180324}
epoch: 16, lr: 8.64e-01 - train loss: 2.87e-01 - valid loss: 3.46e-01, valid summary: {'TP': 591290.0, 'TN': 268605.0, 'FP': 55316.0, 'FN': 50789.0, 'FAR': 0.1707700334340728, 'FRR': 0.07910085830559667, 'DER': 0.12339297239779132, 'threshold': 0.5, 'precision': 0.9144517681555551, 'recall': 0.9208991416943877, 'F-score': 0.9176641304896076, 'MCC': 0.7527773819462098}
epoch: 17, lr: 8.55e-01 - train loss: 2.86e-01 - valid loss: 3.50e-01, valid summary: {'TP': 603220.0, 'TN': 253771.0, 'FP': 70150.0, 'FN': 38859.0, 'FAR': 0.21656515014462735, 'FRR': 0.06052059014544845, 'DER': 0.12719970221390742, 'threshold': 0.5, 'precision': 0.8958225047150764, 'recall': 0.9394794098545359, 'F-score': 0.9171317170030917, 'MCC': 0.7427014488556526}
epoch: 18, lr: 8.45e-01 - train loss: 2.84e-01 - valid loss: 3.48e-01, valid summary: {'TP': 592119.0, 'TN': 266485.0, 'FP': 57436.0, 'FN': 49960.0, 'FAR': 0.17731483911200022, 'FRR': 0.07780973992296776, 'DER': 0.1250821100297678, 'threshold': 0.5, 'precision': 0.911576386911025, 'recall': 0.9221902600770167, 'F-score': 0.9168526068530249, 'MCC': 0.7492734519507347}
epoch: 19, lr: 8.36e-01 - train loss: 2.85e-01 - valid loss: 3.55e-01, valid summary: {'TP': 578760.0, 'TN': 275862.0, 'FP': 48059.0, 'FN': 63319.0, 'FAR': 0.14836642267712966, 'FRR': 0.09861559091638103, 'DER': 0.13032428371841434, 'threshold': 0.5, 'precision': 0.9233287440233796, 'recall': 0.9013844090836034, 'F-score': 0.9122246232557699, 'MCC': 0.744787365626787}
epoch: 20, lr: 8.27e-01 - train loss: 2.82e-01 - valid loss: 3.51e-01, valid summary: {'TP': 607589.0, 'TN': 246953.0, 'FP': 76968.0, 'FN': 34490.0, 'FAR': 0.23761349217864117, 'FRR': 0.05371613150406642, 'DER': 0.13043010173870762, 'threshold': 0.5, 'precision': 0.8875652429235128, 'recall': 0.946283868495918, 'F-score': 0.9159844900937408, 'MCC': 0.736305476226092}
epoch: 21, lr: 8.18e-01 - train loss: 2.81e-01 - valid loss: 3.45e-01, valid summary: {'TP': 590413.0, 'TN': 269005.0, 'FP': 54916.0, 'FN': 51666.0, 'FAR': 0.1695351644382374, 'FRR': 0.08046673384427648, 'DER': 0.12401648557512032, 'threshold': 0.5, 'precision': 0.9149023211416051, 'recall': 0.919533266155708, 'F-score': 0.9172119483489306, 'MCC': 0.7518886262790196}
epoch: 22, lr: 8.09e-01 - train loss: 2.81e-01 - valid loss: 3.49e-01, valid summary: {'TP': 604605.0, 'TN': 254494.0, 'FP': 69427.0, 'FN': 37474.0, 'FAR': 0.2143331244346549, 'FRR': 0.058363534705230063, 'DER': 0.12443385453829972, 'threshold': 0.5, 'precision': 0.8969974719301027, 'recall': 0.9416364652947543, 'F-score': 0.9187750881194672, 'MCC': 0.7476898457560877}
epoch: 23, lr: 8.00e-01 - train loss: 2.81e-01 - valid loss: 3.39e-01, valid summary: {'TP': 604154.0, 'TN': 254698.0, 'FP': 69223.0, 'FN': 37925.0, 'FAR': 0.21370334124677887, 'FRR': 0.05906594048395822, 'DER': 0.1247572340752525, 'threshold': 0.5, 'precision': 0.8972002310741101, 'recall': 0.9409340595160262, 'F-score': 0.9185468765203854, 'MCC': 0.7471411078566234}
epoch: 24, lr: 7.91e-01 - train loss: 2.79e-01 - valid loss: 3.61e-01, valid summary: {'TP': 612921.0, 'TN': 236687.0, 'FP': 87234.0, 'FN': 29158.0, 'FAR': 0.26930640495675584, 'FRR': 0.045411857419413414, 'DER': 0.13699494355043576, 'threshold': 0.5, 'precision': 0.8754075883197167, 'recall': 0.954588142580571, 'F-score': 0.9132848668712013, 'MCC': 0.7243885848833056}
epoch: 25, lr: 7.82e-01 - train loss: 2.79e-01 - valid loss: 3.45e-01, valid summary: {'TP': 590876.0, 'TN': 268963.0, 'FP': 54958.0, 'FN': 51203.0, 'FAR': 0.16966482568280014, 'FRR': 0.0797456387765356, 'DER': 0.12346613726523077, 'threshold': 0.5, 'precision': 0.9149038297766776, 'recall': 0.9202543612234488, 'F-score': 0.9175712955766422, 'MCC': 0.7527802790138207}
epoch: 26, lr: 7.73e-01 - train loss: 2.77e-01 - valid loss: 3.51e-01, valid summary: {'TP': 585186.0, 'TN': 272555.0, 'FP': 51366.0, 'FN': 56893.0, 'FAR': 0.15857570210019856, 'FRR': 0.08860747665006816, 'DER': 0.1262140902673403, 'threshold': 0.5, 'precision': 0.91930588545789, 'recall': 0.9113925233499163, 'F-score': 0.915332101286454, 'MCC': 0.7497089899959803}
epoch: 27, lr: 7.64e-01 - train loss: 2.76e-01 - valid loss: 3.46e-01, valid summary: {'TP': 603305.0, 'TN': 256195.0, 'FP': 67726.0, 'FN': 38774.0, 'FAR': 0.20908184402986502, 'FRR': 0.06038820768160833, 'DER': 0.12390924956369838, 'threshold': 0.5, 'precision': 0.8990717269395766, 'recall': 0.9396117923183761, 'F-score': 0.918894837446977, 'MCC': 0.7488456821698588}
epoch: 28, lr: 7.55e-01 - train loss: 2.76e-01 - valid loss: 3.53e-01, valid summary: {'TP': 613072.0, 'TN': 238231.0, 'FP': 85690.0, 'FN': 29007.0, 'FAR': 0.26453981063283133, 'FRR': 0.04517668386600332, 'DER': 0.13473111218919545, 'threshold': 0.5, 'precision': 0.8773688323062663, 'recall': 0.9548233161339811, 'F-score': 0.9144589104897598, 'MCC': 0.7284966100163103}
epoch: 29, lr: 7.45e-01 - train loss: 2.74e-01 - valid loss: 3.59e-01, valid summary: {'TP': 614038.0, 'TN': 238466.0, 'FP': 85455.0, 'FN': 28041.0, 'FAR': 0.263814325097778, 'FRR': 0.04367219610047916, 'DER': 0.133132513161227, 'threshold': 0.5, 'precision': 0.8778329447185192, 'recall': 0.9563278038995052, 'F-score': 0.9154007388347402, 'MCC': 0.7314691584765162}
epoch: 30, lr: 7.36e-01 - train loss: 2.74e-01 - valid loss: 3.74e-01, valid summary: {'TP': 616607.0, 'TN': 231500.0, 'FP': 92421.0, 'FN': 25472.0, 'FAR': 0.28531956866025093, 'FRR': 0.039671130811005505, 'DER': 0.13900722432428764, 'threshold': 0.5, 'precision': 0.8696511280231406, 'recall': 0.9603288691889789, 'F-score': 0.912743402261997, 'MCC': 0.7211887553034664}
epoch: 31, lr: 7.27e-01 - train loss: 2.72e-01 - valid loss: 4.17e-01, valid summary: {'TP': 623084.0, 'TN': 211771.0, 'FP': 112150.0, 'FN': 18995.0, 'FAR': 0.3462263947073408, 'FRR': 0.029583587066388566, 'DER': 0.15708715884794178, 'threshold': 0.5, 'precision': 0.8474635286180883, 'recall': 0.9704164129335958, 'F-score': 0.9047819921833309, 'MCC': 0.6910856932056698}
epoch: 32, lr: 7.18e-01 - train loss: 2.73e-01 - valid loss: 3.48e-01, valid summary: {'TP': 602028.0, 'TN': 258966.0, 'FP': 64955.0, 'FN': 40051.0, 'FAR': 0.20052728906121553, 'FRR': 0.06237705952071221, 'DER': 0.12195903804207553, 'threshold': 0.5, 'precision': 0.9026137097946889, 'recall': 0.9376229404792722, 'F-score': 0.9197853119256384, 'MCC': 0.7527180178946162}
