epoch: 1, lr: 1.00e+00 - train loss: 2.53e-01 - valid loss: 3.75e-01, valid summary: {'TP': 539793.0, 'TN': 276246.0, 'FP': 47675.0, 'FN': 102286.0, 'FAR': 0.1471809484411277, 'FRR': 0.15930438466294397, 'DER': 0.18376695231477683, 'threshold': 0.5, 'precision': 0.9188466435618464, 'recall': 0.8406956153370404, 'F-score': 0.8780355691974361, 'MCC': 0.6706964818556927}
epoch: 2, lr: 9.91e-01 - train loss: 2.20e-01 - valid loss: 3.11e-01, valid summary: {'TP': 588104.0, 'TN': 258579.0, 'FP': 65342.0, 'FN': 53975.0, 'FAR': 0.20172202481468623, 'FRR': 0.08406286453847449, 'DER': 0.1409228719603424, 'threshold': 0.5, 'precision': 0.9000039789056647, 'recall': 0.9159371354615099, 'F-score': 0.9079006580343876, 'MCC': 0.7207347086539931}
epoch: 3, lr: 9.82e-01 - train loss: 2.11e-01 - valid loss: 3.41e-01, valid summary: {'TP': 624668.0, 'TN': 198329.0, 'FP': 125592.0, 'FN': 17411.0, 'FAR': 0.38772416731238823, 'FRR': 0.027116600916709203, 'DER': 0.17375883508688156, 'threshold': 0.5, 'precision': 0.8326020312958063, 'recall': 0.9728833990832753, 'F-score': 0.8972929724729394, 'MCC': 0.663310103913529}
epoch: 4, lr: 9.73e-01 - train loss: 2.05e-01 - valid loss: 3.02e-01, valid summary: {'TP': 576111.0, 'TN': 280848.0, 'FP': 43073.0, 'FN': 65968.0, 'FAR': 0.1329737806440418, 'FRR': 0.1027412514659395, 'DER': 0.12724179336467523, 'threshold': 0.5, 'precision': 0.9304358639757982, 'recall': 0.8972587485340449, 'F-score': 0.9135461834684756, 'MCC': 0.7521590371681474}
epoch: 5, lr: 9.64e-01 - train loss: 2.02e-01 - valid loss: 2.96e-01, valid summary: {'TP': 583693.0, 'TN': 276961.0, 'FP': 46960.0, 'FN': 58386.0, 'FAR': 0.14497362011107198, 'FRR': 0.09093273569140105, 'DER': 0.12240226618362172, 'threshold': 0.5, 'precision': 0.925537498434148, 'recall': 0.9090672643085833, 'F-score': 0.9172284502943274, 'MCC': 0.7577360098463815}
epoch: 6, lr: 9.55e-01 - train loss: 1.99e-01 - valid loss: 3.05e-01, valid summary: {'TP': 615445.0, 'TN': 238023.0, 'FP': 85898.0, 'FN': 26634.0, 'FAR': 0.2651819425106657, 'FRR': 0.04148087696373746, 'DER': 0.1318526295069044, 'threshold': 0.5, 'precision': 0.8775235512438154, 'recall': 0.958519123036247, 'F-score': 0.9162348093153156, 'MCC': 0.7339244386255075}
epoch: 7, lr: 9.45e-01 - train loss: 1.97e-01 - valid loss: 2.96e-01, valid summary: {'TP': 584075.0, 'TN': 277805.0, 'FP': 46116.0, 'FN': 58004.0, 'FAR': 0.14236804652985935, 'FRR': 0.09033779332449604, 'DER': 0.12080568060518726, 'threshold': 0.5, 'precision': 0.9268221856548106, 'recall': 0.9096622066754884, 'F-score': 0.918162025356253, 'MCC': 0.7606649654227476}
epoch: 8, lr: 9.36e-01 - train loss: 1.94e-01 - valid loss: 2.84e-01, valid summary: {'TP': 594607.0, 'TN': 272927.0, 'FP': 50994.0, 'FN': 47472.0, 'FAR': 0.15742727393407166, 'FRR': 0.07393482733432998, 'DER': 0.11350102704908265, 'threshold': 0.5, 'precision': 0.9210131334988496, 'recall': 0.9260651726656545, 'F-score': 0.9235322440357853, 'MCC': 0.7707400134008782}
epoch: 9, lr: 9.27e-01 - train loss: 1.94e-01 - valid loss: 2.88e-01, valid summary: {'TP': 590573.0, 'TN': 275315.0, 'FP': 48606.0, 'FN': 51506.0, 'FAR': 0.15005510602893452, 'FRR': 0.08021754332410684, 'DER': 0.11561772423223193, 'threshold': 0.5, 'precision': 0.9239555742600911, 'recall': 0.9197824566758775, 'F-score': 0.9218642927497819, 'MCC': 0.7680411294522113}
epoch: 10, lr: 9.18e-01 - train loss: 1.93e-01 - valid loss: 2.87e-01, valid summary: {'TP': 589088.0, 'TN': 277158.0, 'FP': 46763.0, 'FN': 52991.0, 'FAR': 0.14436544713062308, 'FRR': 0.08253034283943124, 'DER': 0.11515666450407719, 'threshold': 0.5, 'precision': 0.9264560408019972, 'recall': 0.9174696571605532, 'F-score': 0.9219409513823136, 'MCC': 0.7695186523162232}
epoch: 11, lr: 9.09e-01 - train loss: 1.91e-01 - valid loss: 2.87e-01, valid summary: {'TP': 612423.0, 'TN': 252959.0, 'FP': 70962.0, 'FN': 29656.0, 'FAR': 0.21907193420617313, 'FRR': 0.0461874629134414, 'DER': 0.11627004028278706, 'threshold': 0.5, 'precision': 0.8961610219714964, 'recall': 0.953812537086543, 'F-score': 0.9240884701508302, 'MCC': 0.7624607645122636}
